,ID,location_name,lat,long,location_name_Initial
10106,2570044,Bagadogo,12.074589999999999,-1.35243,B
9849,2363085,Bagadowoéghin,12.2903,-1.7992299999999999,B
9854,2363090,Bagadé,13.04169,-0.53465,B
9804,2363040,Bagafa,11.76694,-1.84972,B
9848,2363084,Bagahanba,12.157969999999999,1.81485,B
9847,2363083,Bagala,12.6,-3.83333,B
9846,2363082,Bagammssi,11.78333,-1.1,B
9844,2363080,Bagandé,12.85,-0.35,B
9842,2363078,Bagane,11.2,-3.1833299999999998,B
9843,2363079,Bagané,10.96667,-3.05,B
9841,2363077,Bagané,12.03333,-2.3166700000000002,B
10309,2570338,Bagarao,12.2581,-1.68688,B
10829,11911810,Bagaraogo,12.243039999999999,-1.69575,B
9837,2363073,Bagari,12.13152,1.8406200000000001,B
9840,2363076,Bagaré,12.91667,-2.6,B
9839,2363075,Bagaré,13.30139,-2.36077,B
9838,2363074,Bagaré,13.451360000000001,-1.50591,B
9836,2363072,Bagassi,11.75,-3.3,B
9834,2363070,Bagawa,14.17775,-0.35556,B
10856,11912835,Bagayiri,12.03007,-1.8234599999999999,B
10139,2570083,Bagayiri,12.47821,-1.2712700000000001,B
9529,2362760,Bagayiri,12.556939999999999,-1.45751,B
9833,2363069,Bagbanano,10.68333,-3.15,B
9832,2363068,Bagbili,12.2,-0.6166699999999999,B
9845,2363081,Bagemnini,12.01553,-1.55169,B
1955,2355130,Bagma,12.33649,-1.7723200000000001,B
9828,2363064,Bagou,11.28333,-2.23333,B
9827,2363063,Bagou,12.31667,0.36667,B
9824,2363060,Bagouoko,13.43353,-2.22092,B
9823,2363059,Bagouzia,11.28333,-2.1833299999999998,B
9826,2363062,Bagouédara,10.08333,-3.91667,B
9825,2363061,Bagouéra,10.0,-3.95,B
9822,2363058,Bagozougou,12.41667,-2.16667,B
9821,2363057,Bagpélogo,11.71667,-1.2166700000000001,B
9820,2363056,Bagpélogo,11.76667,-1.13333,B
9819,2363055,Bagpélogo,11.88333,-1.63333,B
10636,7701508,Bagre,11.4824,-0.51695,B
10125,2570063,Bagtogdo,12.21691,-1.5671,B
9816,2363052,Baguiomo,12.06667,-2.55,B
